isWin,thinkingTimeTotal,score
False,44.137041095890424,-375.0
False,44.123237704918026,109.0
False,35.89671739130435,-87.0
False,43.45871153846155,80.0
False,29.331239690721638,480.0
False,40.66651111111111,-365.0
True,30.77625,1360.0
False,39.41652083333334,-356.0
False,35.35467741935482,308.0
False,24.33449280575539,444.0
True,34.85369565217392,1765.0
False,22.29742792792792,76.0
False,30.49201639344262,-381.0
False,20.337204771371766,272.0
False,35.765787234042556,-366.0
False,43.74455319148935,-366.0
False,19.78361213720316,713.0
False,33.198754045307446,537.0
False,29.208652173913038,522.0
False,33.89401261829653,714.0
False,27.575010178117044,59.0
False,16.966444089456868,431.0
True,37.547459854014605,1358.0
False,41.67703076923077,-382.0
True,25.027796089385483,1730.0
False,35.39235344827587,-128.0
False,57.94027490039841,66.0
False,24.280083582089556,-162.0
False,39.56663999999999,-290.0
False,28.680746478873242,678.0
False,27.847412429378522,101.0
False,35.372549019607845,-367.0
False,30.081402714932125,-94.0
False,38.095190476190474,-282.0
False,30.188349875930513,-75.0
False,21.458749562171633,449.0
False,29.39175730994152,516.0
True,27.668025531914896,1371.0
False,42.27270909090908,-329.0
False,50.58197014925373,-293.0
True,37.60319036144579,1511.0
True,31.27909717868339,1543.0
False,33.26738805970149,-383.0
False,47.607683544303804,131.0
False,49.053055084745765,-129.0
False,42.02929629629629,84.0
False,33.882294117647064,-367.0
False,50.717347826086964,-366.0
False,26.199149321266965,-114.0
False,29.340758284600376,59.0
